date,State0,State1,State2,Comp#,AverageState,S0Percent,S1Percent,S2Percent
2010-09-24,644,1156,890,2690,1.091449814126394,0.23940520446096655,0.42973977695167287,0.3308550185873606
2010-09-27,650,1153,891,2694,1.0894580549368968,0.2412769116555308,0.4279881217520416,0.3307349665924276
2010-09-28,650,1146,892,2688,1.0900297619047619,0.2418154761904762,0.4263392857142857,0.3318452380952381
2010-09-29,651,1158,877,2686,1.0841399851079672,0.24236783320923305,0.4311243484735666,0.32650781831720027
2010-09-30,651,1166,872,2689,1.0821866865005578,0.24209743399033098,0.4336184455187802,0.3242841204908888
2010-10-01,660,1154,870,2684,1.078241430700447,0.2459016393442623,0.42995529061102833,0.3241430700447094
2010-10-04,662,1161,866,2689,1.0758646336928226,0.24618817404239493,0.4317590182223875,0.32205280773521755
2010-10-05,672,1155,860,2687,1.0699665053963527,0.25009304056568665,0.4298474134722739,0.32005954596203945
2010-10-06,686,1156,845,2687,1.0591737997767026,0.25530331224413844,0.43021957573502045,0.3144771120208411
2010-10-07,689,1151,847,2687,1.0588016375139562,0.2564197990323781,0.4283587644212877,0.3152214365463342
2010-10-08,692,1158,835,2685,1.0532588454376164,0.25772811918063315,0.4312849162011173,0.31098696461824954
2010-10-11,696,1152,830,2678,1.0500373412994772,0.2598954443614638,0.4301717699775952,0.309932785660941
2010-10-12,693,1157,829,2679,1.0507652108995893,0.25867861142217247,0.4318775662560657,0.3094438223217619
2010-10-13,702,1154,826,2682,1.046234153616704,0.26174496644295303,0.43027591349739003,0.307979120059657
2010-10-14,697,1159,825,2681,1.0477433793360686,0.25997762029093624,0.43230138008205893,0.30772099962700483
2010-10-15,692,1162,825,2679,1.049645390070922,0.25830533781261666,0.4337439343038447,0.3079507278835386
2010-10-18,694,1165,819,2678,1.0466766243465273,0.2591486183719193,0.43502613890963404,0.3058252427184466
2010-10-19,681,1160,837,2678,1.058252427184466,0.2542942494398805,0.43315907393577296,0.31254667662434654
2010-10-20,691,1160,829,2680,1.0514925373134327,0.25783582089552237,0.43283582089552236,0.3093283582089552
2010-10-21,684,1165,823,2672,1.0520209580838322,0.2559880239520958,0.43600299401197606,0.30800898203592814
2010-10-22,699,1164,815,2678,1.0433159073935774,0.26101568334578046,0.4346527259148618,0.3043315907393577
2010-10-25,711,1166,808,2685,1.0361266294227187,0.264804469273743,0.43426443202979514,0.30093109869646184
2010-10-26,700,1166,807,2673,1.0400299289188177,0.2618780396558174,0.43621399176954734,0.30190796857463525
2010-10-27,699,1174,803,2676,1.038863976083707,0.26121076233183854,0.43871449925261585,0.3000747384155456
2010-10-28,706,1165,806,2677,1.037355248412402,0.2637280537915577,0.43518864400448265,0.3010833022039597
2010-10-29,701,1163,810,2674,1.0407629020194464,0.26215407629020193,0.4349289454001496,0.3029169783096485
2010-11-01,696,1179,802,2677,1.039596563317146,0.2599925289503175,0.4404183787822189,0.29958909226746355
2010-11-02,703,1183,794,2680,1.033955223880597,0.26231343283582087,0.4414179104477612,0.2962686567164179
2010-11-03,703,1183,783,2669,1.02997377294867,0.26339452978643685,0.4432371674784564,0.2933683027351068
2010-11-04,719,1168,787,2674,1.0254300673148842,0.268885564697083,0.4367988032909499,0.2943156320119671
2010-11-05,715,1176,788,2679,1.0272489734975738,0.26689063083240017,0.43896976483762595,0.2941396043299739
2010-11-08,715,1181,781,2677,1.0246544639521853,0.2670900261486739,0.44116548375046694,0.2917444901008592
2010-11-09,717,1180,780,2677,1.0235338064998132,0.2678371311169219,0.4407919312663429,0.29137093761673516
2010-11-10,720,1167,791,2678,1.0265123226288275,0.268857356235997,0.4357729648991785,0.2953696788648245
2010-11-11,730,1169,772,2671,1.01572444777237,0.27330587794833394,0.4376637963309622,0.28903032572070386
2010-11-12,728,1171,776,2675,1.0179439252336449,0.27214953271028036,0.43775700934579437,0.2900934579439252
2010-11-15,736,1170,772,2678,1.0134428678118,0.2748319641523525,0.4368932038834951,0.2882748319641524
2010-11-16,740,1167,768,2675,1.010467289719626,0.2766355140186916,0.43626168224299067,0.28710280373831776
2010-11-17,762,1152,761,2675,0.9996261682242991,0.2848598130841121,0.43065420560747664,0.28448598130841124
2010-11-18,778,1139,754,2671,0.9910146012729315,0.291276675402471,0.4264320479221265,0.2822912766754025
2010-11-19,789,1135,749,2673,0.9850355405910961,0.2951739618406285,0.42461653572764685,0.28020950243172466
2010-11-22,793,1138,744,2675,0.9816822429906542,0.2964485981308411,0.42542056074766355,0.27813084112149533
2010-11-23,804,1126,744,2674,0.9775617053103964,0.30067314884068813,0.42109199700822736,0.2782348541510845
2010-11-24,813,1121,734,2668,0.9703898050974513,0.3047226386806597,0.42016491754122937,0.27511244377811095
